"LANGUAGE","English","Language name (in native language)."
"MOD_DESCRIPTION","Select which vehicles can spawn from any building","Mod description, visibile in content manager."
"MOD_NAME","Vehicle Selector","Mod name displayed in-game in tooltips and labels."
"HEARSE","Hearses","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Transfers to other facilities","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Ambulances","Vehicle selection title - ambulance vehicles."
"HELI_MED","Medical helicopters","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Firefighting helicopters","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Firetrucks","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Water pumping","Vehicle selection title - water pumping vehicles."
"DISASTER","Disaster response ground vehicles","Vehicle selection title - disaster response ground vehicles."
"HELI_DISASTER","Disaster response helicopters","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Police helicopters","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","Prison helicopters","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Police cars","Vehicle selection title - police ground vehicles."
"PRISONVAN","Prisoner transfer","Vehicle selection title - prisoner transfer ground vehicles."
"CARGO_TRUCK","Cargo transport","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Road maintenance","Vehicle selection title - toad maintenance vehicles."
"ROAD_SNOW","Snow clearing","Vehicle selection title - snow clearing vehicles."
"MAIL_COLLECT","Mail collection","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Unsorted mail transfer","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Sorted mail transfer","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Intercity mail transfer","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Taxis","Vehicle selection title - taxi vehicles."
"CARGO_TRAIN","Cargo trains","Vehicle selection title - cargo trains."
"GARBAGE_COLLECTION","Garbage collection","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Waste transfer","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Fish transport,"Vehicle selection title - fish transport trucks."
"FISH_BOAT","Fishing boats","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Passenger planes","Vehicle selection title - passenger planes."
"AIR_CARGO","Cargo planes","Vehicle selection title - cargo planes."
"LOGS","Forestry products","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Lumber","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Agricultural products","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Food ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Oil products","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Petrol","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Ore products","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Coal","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Add this vehicle to the list of permitted vehicles","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Add all eligible vehicles to the list of permitted vehicles","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Remove this vehicle from the list of permitted vehicles","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Remove all vehicles from the list of permitted vehicles","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Available vehicles","Heading."
"SELECTED_VEHICLES","Selected vehicles","Heading."
"COPY_TIP","Copy this building's vehicle selection to clipboard","Tooltip for 'copy' button."
"PASTE_TIP","Paste vehicle selection from clipboard","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Copy this building's vehicle selection to all other buildings of the same type.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Copy this building's vehicle selection to all other buildings of the same type in the same district and/or area.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Zoom to building","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","No local district","Displayed when selected building has no district."
"ANY_VEHICLE","Any vehicle","Displayed when no specific vehicle is selected."
"TRN_CHOICE","Set language"
