"LANGUAGE","Nederlands","Language name (in native language)."
"MOD_DESCRIPTION","Selecteer welke voertuigen uit elk gebouw kunnen verschijnen","Mod description, visibile in content manager."
"MOD_NAME","Vehicle Selector","Mod name displayed in-game in tooltips and labels."
"HEARSE","Lijkwagens","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Transport naar andere faciliteiten","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Ambulances","Vehicle selection title - ambulance vehicles."
"HELI_MED","Medische helikopters","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Blushelikopters","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Brandweerwagens","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Waterpompende voertuigen","Vehicle selection title - water pumping vehicles."
"DISASTER","Voertuigen voor rampenbestrijding","Vehicle selection title - disaster response ground vehicles."
"EVACUATION","Evacuatiebussen","Vehicle selection title - shelter evacuation buses."
"HELI_DISASTER","Helikopters voor rampenbestrijding","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Politiehelikopters","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","Gevangenis helikopters","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Politieauto's","Vehicle selection title - police ground vehicles."
"PRISONVAN","Gevangenentransport","Vehicle selection title - prisoner transfer ground vehicles."
"BANK_TRUCK","Geldtransport","Vehicle selection title - bank cash transfer vehicles."
"CARGO_TRUCK","Goederenvervoer","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Voertuigen voor wegenonderhoud","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","Sneeuwruimers","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","Voertuigen voor parkonderhoud","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","Postophaling","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Vervoer van ongesorteerde post","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Vervoer van gesorteerde post","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Intercity posttransport","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Taxi's","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","Goederentreinen","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","Intercity passagierstreinen","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","Afvalophaling","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Afvaltransport","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Vistransport","Vehicle selection title - fish transport trucks."
"FISH_BOAT","Vissersboten","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Passagiersvliegtuigen","Vehicle selection title - passenger planes."
"AIR_CARGO","Vrachtvliegtuigen","Vehicle selection title - cargo planes."
"AIR_LIGHT","Kleine vliegtuigen","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","Passagiersschepen","Vehicle selection title - passenger ships."
"SHIP_CARGO","Vrachtschepen","Vehicle selection title - cargo ships."
"BUS_INTERCITY","Langeafstandsbussen","Vehicle selection title - intercity buses."
"CABLE_CAR","Kabelbanen","Vehicle selection title - cable cars."
"LOGS","Bosbouwvoertuigen","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Houttransport","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Landbouwvoertuigen","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Voedseltransport ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Olietransport","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Tankwagens","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Mijnbouw voertuigen","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Kolentransport","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Voeg dit voertuig toe aan de lijst van toegelaten voertuigen","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Alle mogelijke voertuigen toevoegen aan de lijst van toegelaten voertuigen","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Verwijder dit voertuig uit de lijst van toegelaten voertuigen","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Alle voertuigen verwijderen uit de lijst van toegelaten voertuigen","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Beschikbare voertuigen","Heading."
"SELECTED_VEHICLES","Geselecteerde voertuigen","Heading."
"COPY_TIP","Kopieer de voertuigselectie van dit gebouw naar het klembord","Tooltip for 'copy' button."
"PASTE_TIP","Plak de voertuigselectie van het klembord","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Kopieer de voertuigselectie van dit gebouw naar alle andere gebouwen van hetzelfde type.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Kopieer de voertuigselectie van dit gebouw naar alle andere gebouwen van hetzelfde type in hetzelfde district en/of gebied.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Inzoomen op het gebouw","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","Geen lokaal district","Displayed when selected building has no district."
"ANY_VEHICLE","Elk voertuig","Displayed when no specific vehicle is selected."
"TLM_VEHICLE","Gebruik Transport Line Manager","Displayed when no specific vehicle is selected and the Transport Line Manager mod is active."
