"LANGUAGE","Português (Brasil)","Language name (in native language)."
"MOD_DESCRIPTION","Selecione quais veículos podem aparecer de qualquer edifício","Mod description, visibile in content manager."
"MOD_NAME","Seletor de Veículo","Mod name displayed in-game in tooltips and labels."
"HEARSE","Carros Funerários","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Transferir para outras instalações","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Ambulância","Vehicle selection title - ambulance vehicles."
"HELI_MED","Helicópteros Médicos","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Helicópteros de Bombeiros","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Caminhões de Bombeiros","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Bombeamento de Água","Vehicle selection title - water pumping vehicles."
"DISASTER","Veículos terrestres de resposta a desastres","Vehicle selection title - disaster response ground vehicles."
"HELI_DISASTER","Helicópteros de resposta a desastres","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Helicópteros da Polícia","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","Helicópteros da Prisão","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Carros de Polícia","Vehicle selection title - police ground vehicles."
"PRISONVAN","Transferência de Prisioneiros","Vehicle selection title - prisoner transfer ground vehicles."
"CARGO_TRUCK","Transporte de Carga","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Manutenção de estrada","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","Limpeza de Neve","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","Manutenção de parques","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","Coleta de Correio","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Transferência de cartas não classificadas","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Transferência de cartas classificadas","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Transferência de correio interurbana","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Táxis","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","Trens de Carga","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","Trens de passageiros interurbanos","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","Coleta de Lixo","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Transferência de Lixo","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Transporte de Peixe","Vehicle selection title - fish transport trucks."
"FISH_BOAT","Barcos de Pesca","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Avião de Passageiros","Vehicle selection title - passenger planes."
"AIR_CARGO","Avião de Carga","Vehicle selection title - cargo planes."
"AIR_LIGHT","Avião de pequeno porte","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","Navios de Passageiros","Vehicle selection title - passenger ships."
"SHIP_CARGO","Navios de Carga","Vehicle selection title - cargo ships."
"BUS_INTERCITY","Ônibus Interurbanos","Vehicle selection title - intercity buses."
"CABLE_CAR","Teleféricos","Vehicle selection title - cable cars."
"LOGS","Produtos florestais","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Madeira","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Produto Agrícolas","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Alimentos ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Produtos de Petróleo","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Petróleo","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Produtos de Minérios","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Carvão","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Adicione este veículo a lista de veículos permitidos","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Adicione todos os veículos elegíveis a lista de veículos permitidos","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Remova este veículo da lista de veículos permitidos","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Adicione todos os veículos da lista de veículos permitidos","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Veículos disponíveis","Heading."
"SELECTED_VEHICLES","Veículos Selecionados","Heading."
"COPY_TIP","Copie o tipo de veículo desde edifício para a área de transferência","Tooltip for 'copy' button."
"PASTE_TIP","Cole o tipo de veículo selecionado da área de transferência","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Copie o tipo de veículo deste edifício para todos os edifícios do mesmo tipo.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Copie o tipo de veículo deste edifício para todos os edifícios do mesmo tipo no(a) mesmo(a) distrito/área.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Ampliar até a construção","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","Nenhum distrito local","Displayed when selected building has no district."
"ANY_VEHICLE","Qualquer Veículo","Displayed when no specific vehicle is selected."
"TLM_VEHICLE","Usando Gerenciador de Linhas de Transporte(TLM)","Displayed when no specific vehicle is selected and the Transport Line Manager mod is active."
