"LANGUAGE","Українська","Language name (in native language)."
"MOD_DESCRIPTION","Оберіть, які транспортні засоби можуть з’являтися з будь-якої будівлі","Mod description, visibile in content manager."
"MOD_NAME","Vehicle Selector","Mod name displayed in-game in tooltips and labels."
"HEARSE","Катафалки","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Передача на інші об'єкти","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Швидка Допомога","Vehicle selection title - ambulance vehicles."
"HELI_MED","Медичні гелікоптери","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Пожежні гелікоптери","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Пожежні машини","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Асенізатори","Vehicle selection title - water pumping vehicles."
"DISASTER","Машини ДСНС","Vehicle selection title - disaster response ground vehicles."
"HELI_DISASTER","Гелікоптери ДСНС","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Поліційний гелікоптер","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","В'язничні гелікоптери","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Поліційна машина","Vehicle selection title - police ground vehicles."
"PRISONVAN","Тюремний транспорт","Vehicle selection title - prisoner transfer ground vehicles."
"CARGO_TRUCK","Вантажний транспорт","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Дорожня служба","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","Снігоочисники","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","Паркова служба","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","Поштові фургони","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Несортована пошта","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Відсортована пошта","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Міжміська пошта","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Таксі","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","Вантажні потяги","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","Міжміські потяги","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","Сміттєвози","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Сміттєперевізники","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Рибовози","Vehicle selection title - fish transport trucks."
"FISH_BOAT","Рибальські човни","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Пасажирські літаки","Vehicle selection title - passenger planes."
"AIR_CARGO","Вантажні літаки","Vehicle selection title - cargo planes."
"AIR_LIGHT","Легкі літаки","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","Пасажирські кораблі","Vehicle selection title - passenger ships."
"SHIP_CARGO","Вантажні кораблі","Vehicle selection title - cargo ships."
"BUS_INTERCITY","Міжміські автобуси","Vehicle selection title - intercity buses."
"CABLE_CAR","Кабіни канатки","Vehicle selection title - cable cars."
"LOGS","Лісовози","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Вантажівки для пиломатеріалів","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Аграрний транспорт","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Транспорт продовольства ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Нафтовози","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Бензовози","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Рудовози","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Транспорт для вугілля","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Додати цей транспорт до списку дозволених транспортних засобів","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Додати весь транспорт цього типу до списку дозволених транспортних засобів","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Видалити цей транспорт зі списку дозволених транспортних засобів","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Видалити весь транспорт зі списку дозволених транспортних засобів","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Доступний транспорт","Heading."
"SELECTED_VEHICLES","Обрані транспортні засоби","Heading."
"COPY_TIP","Копіювати транспорт з цієї будівлі в буфер обміну","Tooltip for 'copy' button."
"PASTE_TIP","Вставити транспорт з буфера обміну","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Скопіювати транспорт з цієї будівлі у всі інші будівлі цього типу.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Скопіювати транспорт з цієї будівлі у всі інші будівлі цього типу у цьому районі.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Наблизити до будівлі","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","Будівля не має району","Displayed when selected building has no district."
"ANY_VEHICLE","Будь-який транспорт","Displayed when no specific vehicle is selected."
"TLM_VEHICLE","Використовується Transport Line Manager","Displayed when no specific vehicle is selected and the Transport Line Manager mod is active."
